Third-Party Crates and Licenses for NeoSTS
==========================================

Format: crate | version | license | url
encoding_rs | 0.8.35 | (Apache-2.0 OR MIT) AND BSD-3-Clause | https://github.com/hsivonen/encoding_rs
enumn | 0.1.14 | MIT OR Apache-2.0 | https://github.com/dtolnay/enumn
epaint | 0.33.3 | MIT OR Apache-2.0 | https://github.com/emilk/egui/tree/main/crates/epaint
epaint_default_fonts | 0.33.3 | (MIT OR Apache-2.0) AND OFL-1.1 AND Ubuntu-font-1.0 | https://github.com/emilk/egui/tree/main/crates/epaint_default_fonts
equivalent | 1.0.2 | Apache-2.0 OR MIT | https://github.com/indexmap-rs/equivalent
error-code | 3.3.2 | BSL-1.0 | https://github.com/DoumanAsh/error-code
fax | 0.2.6 | MIT | https://github.com/pdf-rs/fax
fax_derive | 0.2.0 | MIT | https://github.com/pdf-rs/fax
fdeflate | 0.3.7 | MIT OR Apache-2.0 | https://github.com/image-rs/fdeflate
flate2 | 1.1.9 | MIT OR Apache-2.0 | https://github.com/rust-lang/flate2-rs
foldhash | 0.1.5 | Zlib | https://github.com/orlp/foldhash
foreign-types | 0.5.0 | MIT OR Apache-2.0 | https://github.com/sfackler/foreign-types
foreign-types-macros | 0.2.3 | MIT OR Apache-2.0 | https://github.com/sfackler/foreign-types
foreign-types-shared | 0.3.1 | MIT OR Apache-2.0 | https://github.com/sfackler/foreign-types
form_urlencoded | 1.2.2 | MIT OR Apache-2.0 | https://github.com/servo/rust-url
gl_generator | 0.14.0 | Apache-2.0 | https://github.com/brendanzab/gl-rs/
glow | 0.16.0 | MIT OR Apache-2.0 OR Zlib | https://github.com/grovesNL/glow
glutin | 0.32.3 | Apache-2.0 | https://github.com/rust-windowing/glutin
glutin_egl_sys | 0.7.1 | Apache-2.0 | https://github.com/rust-windowing/glutin
glutin_wgl_sys | 0.6.1 | Apache-2.0 | https://github.com/rust-windowing/glutin
glutin-winit | 0.5.0 | MIT | https://github.com/rust-windowing/glutin
half | 2.7.1 | MIT OR Apache-2.0 | https://github.com/VoidStarKat/half-rs
hashbrown | 0.15.5 | MIT OR Apache-2.0 | https://github.com/rust-lang/hashbrown
hashbrown | 0.17.0 | MIT OR Apache-2.0 | https://github.com/rust-lang/hashbrown
home | 0.5.12 | MIT OR Apache-2.0 | https://github.com/rust-lang/cargo
icu_collections | 2.2.0 | Unicode-3.0 | https://github.com/unicode-org/icu4x
icu_locale_core | 2.2.0 | Unicode-3.0 | https://github.com/unicode-org/icu4x
icu_normalizer | 2.2.0 | Unicode-3.0 | https://github.com/unicode-org/icu4x
icu_normalizer_data | 2.2.0 | Unicode-3.0 | https://github.com/unicode-org/icu4x
icu_properties | 2.2.0 | Unicode-3.0 | https://github.com/unicode-org/icu4x
icu_properties_data | 2.2.0 | Unicode-3.0 | https://github.com/unicode-org/icu4x
icu_provider | 2.2.0 | Unicode-3.0 | https://github.com/unicode-org/icu4x
idna | 1.1.0 | MIT OR Apache-2.0 | https://github.com/servo/rust-url/
idna_adapter | 1.2.1 | Apache-2.0 OR MIT | https://github.com/hsivonen/idna_adapter
image | 0.25.10 | MIT OR Apache-2.0 | https://github.com/image-rs/image
indexmap | 2.14.0 | Apache-2.0 OR MIT | https://github.com/indexmap-rs/indexmap
itoa | 1.0.18 | MIT OR Apache-2.0 | https://github.com/dtolnay/itoa
khronos_api | 3.1.0 | Apache-2.0 | https://github.com/brendanzab/gl-rs/
libc | 0.2.184 | MIT OR Apache-2.0 | https://github.com/rust-lang/libc
libloading | 0.8.9 | ISC | https://github.com/nagisa/rust_libloading/
litemap | 0.8.2 | Unicode-3.0 | https://github.com/unicode-org/icu4x
litrs | 1.0.0 | MIT OR Apache-2.0 | https://github.com/LukasKalbertodt/litrs
lock_api | 0.4.14 | MIT OR Apache-2.0 | https://github.com/Amanieu/parking_lot
log | 0.4.29 | MIT OR Apache-2.0 | https://github.com/rust-lang/log
memchr | 2.8.0 | Unlicense OR MIT | https://github.com/BurntSushi/memchr
memoffset | 0.9.1 | MIT | https://github.com/Gilnaa/memoffset
miniz_oxide | 0.8.9 | MIT OR Zlib OR Apache-2.0 | https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide
moxcms | 0.8.1 | BSD-3-Clause OR Apache-2.0 | https://github.com/awxkee/moxcms.git
NeoSTS | 0.1.0 | MIT | 
nohash-hasher | 0.2.0 | Apache-2.0 OR MIT | https://github.com/paritytech/nohash-hasher
num-traits | 0.2.19 | MIT OR Apache-2.0 | https://github.com/rust-num/num-traits
objc2 | 0.5.2 | MIT | https://github.com/madsmtm/objc2
objc2 | 0.6.4 | MIT | https://github.com/madsmtm/objc2
objc2-app-kit | 0.2.2 | MIT | https://github.com/madsmtm/objc2
objc2-app-kit | 0.3.2 | Zlib OR Apache-2.0 OR MIT | https://github.com/madsmtm/objc2
objc2-core-foundation | 0.3.2 | Zlib OR Apache-2.0 OR MIT | https://github.com/madsmtm/objc2
objc2-core-graphics | 0.3.2 | Zlib OR Apache-2.0 OR MIT | https://github.com/madsmtm/objc2
objc2-core-services | 0.3.2 | Zlib OR Apache-2.0 OR MIT | https://github.com/madsmtm/objc2
objc2-encode | 4.1.0 | MIT | https://github.com/madsmtm/objc2
objc2-foundation | 0.2.2 | MIT | https://github.com/madsmtm/objc2
objc2-foundation | 0.3.2 | MIT | https://github.com/madsmtm/objc2
objc2-security | 0.3.2 | Zlib OR Apache-2.0 OR MIT | https://github.com/madsmtm/objc2
objc-sys | 0.3.5 | MIT | https://github.com/madsmtm/objc2
once_cell | 1.21.4 | MIT OR Apache-2.0 | https://github.com/matklad/once_cell
owned_ttf_parser | 0.25.1 | Apache-2.0 | https://github.com/alexheretic/owned-ttf-parser
parking_lot | 0.12.5 | MIT OR Apache-2.0 | https://github.com/Amanieu/parking_lot
parking_lot_core | 0.9.12 | MIT OR Apache-2.0 | https://github.com/Amanieu/parking_lot
percent-encoding | 2.3.2 | MIT OR Apache-2.0 | https://github.com/servo/rust-url/
pin-project-lite | 0.2.17 | Apache-2.0 OR MIT | https://github.com/taiki-e/pin-project-lite
png | 0.18.1 | MIT OR Apache-2.0 | https://github.com/image-rs/image-png
potential_utf | 0.1.5 | Unicode-3.0 | https://github.com/unicode-org/icu4x
proc-macro2 | 1.0.106 | MIT OR Apache-2.0 | https://github.com/dtolnay/proc-macro2
profiling | 1.0.17 | MIT OR Apache-2.0 | https://github.com/aclysma/profiling
pxfm | 0.1.28 | BSD-3-Clause OR Apache-2.0 | https://github.com/awxkee/pxfm
quick-error | 2.0.1 | MIT OR Apache-2.0 | http://github.com/tailhook/quick-error
quote | 1.0.45 | MIT OR Apache-2.0 | https://github.com/dtolnay/quote
raw-window-handle | 0.6.2 | MIT OR Apache-2.0 OR Zlib | https://github.com/rust-windowing/raw-window-handle
rfd | 0.15.4 | MIT | https://github.com/PolyMeilex/rfd
ron | 0.11.0 | MIT OR Apache-2.0 | https://github.com/ron-rs/ron
ryu | 1.0.23 | Apache-2.0 OR BSL-1.0 | https://github.com/dtolnay/ryu
scopeguard | 1.2.0 | MIT OR Apache-2.0 | https://github.com/bluss/scopeguard
serde | 1.0.228 | MIT OR Apache-2.0 | https://github.com/serde-rs/serde
serde_core | 1.0.228 | MIT OR Apache-2.0 | https://github.com/serde-rs/serde
serde_derive | 1.0.228 | MIT OR Apache-2.0 | https://github.com/serde-rs/serde
serde_json | 1.0.149 | MIT OR Apache-2.0 | https://github.com/serde-rs/json
serde_spanned | 1.1.1 | MIT OR Apache-2.0 | https://github.com/toml-rs/toml
serde_yaml | 0.9.34+deprecated | MIT OR Apache-2.0 | https://github.com/dtolnay/serde-yaml
sheet | 0.1.0 | MIT | 
simd-adler32 | 0.3.9 | MIT | https://github.com/mcountryman/simd-adler32
smallvec | 1.15.1 | MIT OR Apache-2.0 | https://github.com/servo/rust-smallvec
smol_str | 0.2.2 | MIT OR Apache-2.0 | https://github.com/rust-analyzer/smol_str
stable_deref_trait | 1.2.1 | MIT OR Apache-2.0 | https://github.com/storyyeller/stable_deref_trait
static_assertions | 1.1.0 | MIT OR Apache-2.0 | https://github.com/nvzqz/static-assertions-rs
syn | 2.0.117 | MIT OR Apache-2.0 | https://github.com/dtolnay/syn
synstructure | 0.13.2 | MIT | https://github.com/mystor/synstructure
thiserror | 2.0.18 | MIT OR Apache-2.0 | https://github.com/dtolnay/thiserror
thiserror-impl | 2.0.18 | MIT OR Apache-2.0 | https://github.com/dtolnay/thiserror
tiff | 0.11.3 | MIT | https://github.com/image-rs/image-tiff
tinystr | 0.8.3 | Unicode-3.0 | https://github.com/unicode-org/icu4x
toml | 1.1.2+spec-1.1.0 | MIT OR Apache-2.0 | https://github.com/toml-rs/toml
toml_datetime | 1.1.1+spec-1.1.0 | MIT OR Apache-2.0 | https://github.com/toml-rs/toml
toml_parser | 1.1.2+spec-1.1.0 | MIT OR Apache-2.0 | https://github.com/toml-rs/toml
tracing | 0.1.44 | MIT | https://github.com/tokio-rs/tracing
tracing-core | 0.1.36 | MIT | https://github.com/tokio-rs/tracing
ttf-parser | 0.25.1 | MIT OR Apache-2.0 | https://github.com/harfbuzz/ttf-parser
unicode-ident | 1.0.24 | (MIT OR Apache-2.0) AND Unicode-3.0 | https://github.com/dtolnay/unicode-ident
unicode-segmentation | 1.13.2 | MIT OR Apache-2.0 | https://github.com/unicode-rs/unicode-segmentation
unsafe-libyaml | 0.2.11 | MIT | https://github.com/dtolnay/unsafe-libyaml
url | 2.5.8 | MIT OR Apache-2.0 | https://github.com/servo/rust-url
utf8_iter | 1.0.4 | Apache-2.0 OR MIT | https://github.com/hsivonen/utf8_iter
version_check | 0.9.5 | MIT OR Apache-2.0 | https://github.com/SergioBenitez/version_check
webbrowser | 1.2.0 | MIT OR Apache-2.0 | https://github.com/amodm/webbrowser-rs
web-time | 1.1.0 | MIT OR Apache-2.0 | https://github.com/daxpedda/web-time
weezl | 0.1.12 | MIT OR Apache-2.0 | https://github.com/image-rs/weezl
windows | 0.61.3 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows_x86_64_msvc | 0.52.6 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows_x86_64_msvc | 0.53.1 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-collections | 0.2.0 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-core | 0.61.2 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-future | 0.2.1 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-implement | 0.60.2 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-interface | 0.59.3 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-link | 0.1.3 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-link | 0.2.1 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-numerics | 0.2.0 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-result | 0.3.4 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-strings | 0.4.2 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-sys | 0.52.0 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-sys | 0.59.0 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-sys | 0.60.2 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-sys | 0.61.2 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-targets | 0.52.6 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-targets | 0.53.5 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
windows-threading | 0.1.0 | MIT OR Apache-2.0 | https://github.com/microsoft/windows-rs
winit | 0.30.13 | Apache-2.0 | https://github.com/rust-windowing/winit
winnow | 1.0.1 | MIT | https://github.com/winnow-rs/winnow
winresource | 0.1.31 | MIT | https://github.com/BenjaminRi/winresource
writeable | 0.6.3 | Unicode-3.0 | https://github.com/unicode-org/icu4x
xml-rs | 0.8.28 | MIT | https://github.com/kornelski/xml-rs
yoke | 0.8.2 | Unicode-3.0 | https://github.com/unicode-org/icu4x
yoke-derive | 0.8.2 | Unicode-3.0 | https://github.com/unicode-org/icu4x
zerocopy | 0.8.48 | BSD-2-Clause OR Apache-2.0 OR MIT | https://github.com/google/zerocopy
zerocopy-derive | 0.8.48 | BSD-2-Clause OR Apache-2.0 OR MIT | https://github.com/google/zerocopy
zerofrom | 0.1.7 | Unicode-3.0 | https://github.com/unicode-org/icu4x
zerofrom-derive | 0.1.7 | Unicode-3.0 | https://github.com/unicode-org/icu4x
zerotrie | 0.2.4 | Unicode-3.0 | https://github.com/unicode-org/icu4x
zerovec | 0.11.6 | Unicode-3.0 | https://github.com/unicode-org/icu4x
zerovec-derive | 0.11.3 | Unicode-3.0 | https://github.com/unicode-org/icu4x
zmij | 1.0.21 | MIT | https://github.com/dtolnay/zmij
zune-core | 0.5.1 | MIT OR Apache-2.0 OR Zlib | https://github.com/etemesi254/zune-image
zune-jpeg | 0.5.15 | MIT OR Apache-2.0 OR Zlib | https://github.com/etemesi254/zune-image/tree/dev/crates/zune-jpeg
